epoch,accuracy,loss,val_accuracy,val_loss
0,0.5139063000679016,2.374537706375122,0.49385762214660645,3.121959924697876
1,0.9297817349433899,0.6488828659057617,0.5124207139015198,4.236050605773926
2,0.9656916856765747,0.25336548686027527,0.532561719417572,5.041676998138428
3,0.9812096953392029,0.1318545639514923,0.5474968552589417,5.290624141693115
4,0.9877994656562805,0.08264970034360886,0.5435020327568054,6.010688304901123
5,0.9907689094543457,0.06019817665219307,0.5348554849624634,6.560037612915039
6,0.9924910664558411,0.047032296657562256,0.5332698822021484,7.049990177154541
7,0.9933683276176453,0.03938324376940727,0.5516200065612793,7.039252758026123
8,0.9939122796058655,0.034589432179927826,0.5363128185272217,7.545969486236572
9,0.9946264624595642,0.03027273528277874,0.5309735536575317,7.74222469329834
10,0.9948765635490417,0.027667123824357986,0.5235816836357117,8.248793601989746
11,0.9951053261756897,0.025922317057847977,0.5271813869476318,8.293539047241211
12,0.9954257011413574,0.02402735874056816,0.5404077172279358,8.228348731994629
